time,connectivity
00:00:03,"[0,0,1,0,0,0,1]"
00:00:04,"[0,0,1,0,0,0,1]"
00:00:08,"[0,0,1,0,0,0,1]"
00:00:09,"[0,0,1,0,0,0,1]"
00:00:13,"[0,0,1,0,0,0,1]"
00:00:14,"[0,0,1,0,0,0,1]"
00:00:18,"[0,0,1,0,0,0,1]"
00:00:19,"[0,0,1,0,0,0,1]"
00:00:23,"[0,0,1,0,0,0,1]"
00:00:24,"[0,0,1,0,0,0,1]"
00:00:28,"[0,0,1,0,0,0,1]"
00:00:29,"[0,0,1,0,0,0,1]"
00:00:33,"[0,0,1,0,0,0,1]"
00:00:34,"[0,0,1,0,0,0,1]"
00:00:38,"[0,0,1,0,0,0,1]"
00:00:39,"[0,0,1,0,0,0,1]"
00:00:43,"[0,0,1,0,0,0,1]"
00:00:44,"[0,0,1,0,0,0,1]"
00:00:48,"[0,0,1,0,0,0,1]"
00:00:49,"[0,0,1,0,0,0,1]"
00:00:53,"[0,0,1,0,0,0,1]"
00:00:54,"[0,0,1,0,0,0,1]"
00:00:58,"[0,0,1,0,0,0,1]"
00:00:59,"[0,0,1,0,0,0,1]"
00:01:03,"[0,0,1,0,0,0,1]"
00:01:04,"[0,0,1,0,0,0,1]"
00:01:08,"[0,0,1,0,0,0,1]"
00:01:09,"[0,0,1,0,0,0,1]"
00:01:13,"[0,0,1,0,0,0,1]"
00:01:14,"[0,0,1,0,0,0,1]"
00:01:18,"[0,0,1,0,0,0,1]"
00:01:19,"[0,0,1,0,0,0,1]"
00:01:23,"[0,0,1,0,0,0,1]"
00:01:24,"[0,0,1,0,0,0,1]"
00:01:28,"[0,0,1,0,0,0,1]"
00:01:29,"[0,0,1,0,0,0,1]"
00:01:34,"[0,0,0,0,0,0,1]"
