time,connectivity
18:28:48,"[1,1,1,1,1,1,1]"
18:28:50,"[1,1,1,1,1,1,1]"
18:28:52,"[1,1,0,1,1,1,1]"
18:28:54,"[1,1,1,1,1,1,1]"
18:28:56,"[1,1,1,1,1,1,1]"
18:28:58,"[1,1,1,1,1,1,1]"
18:29:00,"[1,1,1,1,1,1,1]"
18:29:02,"[1,1,1,1,1,0,1]"
18:29:04,"[1,1,0,1,1,1,1]"
18:29:06,"[1,1,1,1,1,1,1]"
18:29:08,"[1,0,1,1,1,1,1]"
18:29:10,"[1,1,1,1,1,1,1]"
18:29:12,"[1,0,1,1,1,1,1]"
18:29:14,"[1,1,1,1,1,1,1]"
18:29:16,"[1,1,1,1,1,1,1]"
18:29:18,"[1,1,1,1,1,0,1]"
18:29:20,"[1,1,1,1,1,1,1]"
18:29:22,"[1,1,1,1,1,1,1]"
18:29:24,"[1,1,1,1,1,1,1]"
18:29:26,"[1,1,1,0,1,1,1]"
18:29:28,"[1,0,1,1,1,1,1]"
18:29:30,"[0,1,1,1,1,1,1]"
18:29:32,"[1,0,1,1,1,1,1]"
18:29:34,"[1,1,1,1,1,1,1]"
18:29:36,"[1,1,1,1,1,1,1]"
18:29:38,"[1,1,1,1,1,1,1]"
18:29:41,"[1,1,1,0,1,1,1]"
18:29:43,"[1,1,1,1,1,1,1]"
18:29:45,"[1,1,1,0,1,1,1]"
18:29:47,"[1,1,0,1,1,0,1]"
18:29:49,"[1,1,1,1,1,1,1]"
18:29:51,"[1,1,1,1,1,1,1]"
18:29:53,"[1,1,1,1,0,1,1]"
18:29:55,"[1,1,1,1,1,1,1]"
18:29:57,"[1,1,1,1,1,1,1]"
18:29:59,"[1,1,1,1,1,1,1]"
18:30:01,"[1,1,1,1,1,0,1]"
18:30:03,"[0,1,1,1,0,1,1]"
18:30:05,"[1,1,1,1,1,1,1]"
18:36:32,"[1,1,1,1,1,1,1]"
18:36:34,"[1,1,0,1,1,1,1]"
18:36:36,"[1,0,1,1,1,1,1]"
18:36:38,"[1,1,1,1,0,1,1]"
18:36:40,"[1,1,1,1,1,1,1]"
18:36:42,"[1,1,0,1,1,1,1]"
18:36:44,"[1,1,1,1,1,1,1]"
18:36:46,"[1,1,1,1,1,1,1]"
18:36:48,"[1,1,1,1,1,0,1]"
18:36:50,"[1,1,1,1,1,1,1]"
18:36:52,"[0,1,1,1,1,1,1]"
18:36:54,"[1,1,1,1,1,1,1]"
18:36:56,"[1,0,0,1,1,1,1]"
18:36:58,"[1,1,1,1,1,1,1]"
18:37:00,"[1,1,1,1,1,1,1]"
18:37:02,"[1,1,0,1,1,1,1]"
18:37:04,"[1,1,1,0,1,1,1]"
18:37:06,"[1,1,1,1,1,1,1]"
18:37:08,"[1,1,1,1,1,1,1]"
18:37:10,"[1,1,1,1,1,1,1]"
18:37:12,"[1,1,1,1,1,1,1]"
18:37:14,"[1,1,1,1,1,1,1]"
18:37:16,"[1,1,1,1,1,1,1]"
18:37:18,"[1,0,1,1,1,0,1]"
18:37:20,"[1,1,1,1,1,0,1]"
18:37:22,"[1,1,1,1,1,1,1]"
18:37:24,"[0,1,1,1,1,1,1]"
18:37:26,"[1,0,1,1,1,1,1]"
18:37:28,"[1,1,1,1,1,1,1]"
18:37:30,"[1,1,1,1,1,1,1]"
18:37:32,"[1,1,1,1,0,1,1]"
18:37:34,"[1,1,1,1,1,1,1]"
18:37:36,"[1,1,1,1,1,1,1]"
18:37:38,"[1,1,1,1,1,1,1]"
18:37:40,"[1,0,1,1,1,1,1]"
18:37:42,"[1,1,1,1,1,1,1]"
18:37:44,"[1,1,1,1,1,1,1]"
18:37:46,"[1,1,1,0,0,1,1]"
18:37:48,"[1,1,1,1,1,1,1]"
18:37:50,"[1,1,1,1,1,1,1]"
18:37:52,"[1,1,1,0,1,1,1]"
18:37:54,"[1,1,1,0,1,1,1]"
18:37:56,"[1,0,1,1,1,0,1]"
18:37:58,"[1,1,1,1,1,1,1]"
18:38:00,"[1,1,1,1,1,1,1]"
18:38:02,"[1,1,1,1,1,1,1]"
18:38:04,"[1,1,0,1,1,1,1]"
18:38:06,"[1,1,1,0,1,1,1]"
18:38:08,"[1,1,1,1,1,1,1]"
18:38:10,"[1,1,0,1,1,1,1]"
18:38:12,"[1,1,1,1,1,1,1]"
18:38:14,"[1,1,1,1,1,1,1]"
18:38:16,"[1,1,1,1,1,1,1]"
18:38:18,"[0,1,1,1,1,1,1]"
18:38:20,"[1,1,0,1,1,1,1]"
18:38:22,"[1,1,1,1,1,0,1]"
18:38:24,"[0,1,1,1,1,0,1]"
18:38:26,"[0,0,1,1,1,1,1]"
18:38:28,"[1,1,1,1,1,1,1]"
18:38:30,"[1,1,1,1,1,1,1]"
18:38:32,"[1,1,1,1,1,1,1]"
18:38:34,"[1,1,0,1,1,1,1]"
18:38:36,"[1,1,1,1,1,0,1]"
18:38:38,"[1,0,1,0,0,0,1]"
18:38:40,"[1,1,1,1,1,1,1]"
18:38:42,"[1,1,0,1,1,1,1]"
18:38:44,"[0,1,1,1,0,0,1]"
18:38:46,"[1,1,1,1,1,1,1]"
18:38:48,"[1,1,1,1,1,1,1]"
