time,connectivity
21:59:19,"[0,0,0,0,0,0,0]"
21:59:20,"[0,0,0,0,0,0,0]"
21:59:21,"[0,0,0,0,0,0,0]"
21:59:22,"[0,0,0,0,0,0,0]"
21:59:23,"[0,0,0,0,0,0,0]"
21:59:24,"[0,0,0,0,0,0,0]"
21:59:25,"[0,0,0,0,0,0,0]"
21:59:26,"[0,0,0,0,0,0,0]"
21:59:27,"[0,0,0,0,0,0,0]"
21:59:28,"[0,0,0,0,0,0,0]"
21:59:29,"[0,0,0,0,0,0,0]"
21:59:30,"[0,0,0,0,0,0,0]"
21:59:31,"[0,0,0,0,0,0,0]"
21:59:32,"[0,0,0,0,0,0,0]"
21:59:33,"[0,0,0,0,0,0,0]"
21:59:34,"[0,0,0,0,0,0,0]"
21:59:35,"[0,0,0,0,0,0,0]"
21:59:36,"[0,0,0,0,0,0,0]"
21:59:36,"[0,0,0,0,0,0,1]"
21:59:41,"[0,0,0,0,0,0,1]"
21:59:46,"[0,0,0,0,0,0,1]"
21:59:51,"[0,0,0,0,0,0,1]"
21:59:56,"[0,0,0,0,0,0,1]"
22:00:01,"[0,0,0,0,0,0,1]"
22:00:06,"[0,0,0,0,0,0,1]"
22:00:11,"[0,0,0,0,0,0,1]"
22:00:16,"[0,0,0,0,0,0,1]"
22:00:21,"[0,0,0,0,0,0,1]"
22:00:26,"[0,0,0,0,0,0,1]"
22:00:31,"[0,0,0,0,0,0,1]"
22:00:36,"[0,0,0,0,0,0,1]"
22:00:41,"[0,0,0,0,0,0,1]"
22:00:46,"[0,0,0,0,0,0,1]"
22:00:48,"[1,0,0,0,1,0,1]"
22:00:49,"[1,0,0,0,1,0,1]"
22:00:51,"[1,0,0,0,1,0,1]"
22:00:54,"[1,0,0,0,1,0,1]"
22:00:54,"[1,0,0,0,1,0,1]"
22:00:56,"[1,0,0,0,1,0,1]"
22:00:58,"[1,0,0,0,1,0,1]"
22:00:59,"[1,0,0,0,1,0,1]"
22:01:01,"[1,0,0,0,1,0,1]"
22:01:04,"[1,0,0,0,1,0,1]"
22:01:04,"[1,0,0,0,1,0,1]"
22:01:06,"[1,0,0,0,1,0,1]"
22:01:09,"[1,0,0,0,1,0,1]"
22:01:11,"[1,0,0,0,1,0,1]"
22:01:14,"[1,0,0,0,1,0,1]"
22:01:16,"[1,0,0,0,1,0,1]"
22:01:21,"[0,0,0,0,0,0,1]"
22:01:26,"[0,0,0,0,0,0,1]"
22:01:31,"[0,0,0,0,0,0,1]"
22:01:36,"[0,0,0,0,0,0,1]"
22:01:41,"[0,0,0,0,0,0,1]"
22:01:46,"[0,0,0,0,0,0,1]"
22:01:51,"[0,0,0,0,0,0,1]"
22:01:56,"[0,0,0,0,0,0,1]"
22:02:01,"[0,0,0,0,0,0,1]"
22:02:06,"[0,0,0,0,0,0,1]"
22:02:11,"[0,0,0,0,0,0,1]"
22:02:16,"[1,0,1,0,1,0,1]"
22:02:16,"[1,0,1,0,0,0,1]"
22:02:17,"[1,0,1,0,0,0,1]"
22:02:21,"[1,0,1,0,0,0,1]"
22:02:21,"[1,0,1,0,0,0,1]"
22:02:22,"[1,0,1,0,0,0,1]"
22:02:26,"[1,0,1,0,0,0,1]"
22:02:26,"[1,0,1,0,0,0,1]"
22:02:27,"[1,0,1,0,0,0,1]"
22:02:31,"[1,0,1,0,0,0,1]"
22:02:31,"[1,0,1,0,0,0,1]"
22:02:32,"[1,0,1,0,0,0,1]"
22:02:36,"[1,0,1,0,0,0,1]"
22:02:36,"[1,0,1,0,0,0,1]"
22:02:37,"[1,0,1,0,0,0,1]"
22:02:41,"[1,0,1,0,0,0,1]"
22:02:41,"[1,0,1,0,0,0,1]"
22:02:42,"[1,0,1,0,0,0,1]"
